ability	tier	property	bonus
citadel_ability_fissure_wall	3	CreateTurrets	2
citadel_ability_fissure_wall	3	SlowPercent	30
citadel_ability_fissure_wall	3	TurretLifeTime	8
citadel_ability_flying_strike	1	AbilityCooldown	-18
citadel_ability_flying_strike	2	BuffDuration	6
citadel_ability_flying_strike	2	SpiritBonus	40
citadel_ability_flying_strike	3	AbilityCastRange	15m
citadel_ability_flying_strike	3	AbilityCharges	3
citadel_ability_flying_strike	3	AbilityCooldownBetweenCharge	3
citadel_ability_flying_strike	3	CanGrappleAllyHeroes	1
citadel_ability_healing_slash	1	BuffDuration	4
citadel_ability_healing_slash	1	BuffMeleeDamage	30
citadel_ability_healing_slash	2	HealMaxHealth	6
citadel_ability_healing_slash	3	AbilityCooldown	-10
citadel_ability_healing_slash	3	Damage	0.6
citadel_ability_hook	1	BulletAmp	20
citadel_ability_hook	1	BulletAmpDuration	6
citadel_ability_hook	2	AbilityCastRange	30m
citadel_ability_hook	3	AbilityCooldown	-11.5
citadel_ability_hornet_chain	1	Damage	65
citadel_ability_hornet_chain	2	AbilityCooldown	-20
citadel_ability_hornet_chain	3	CaptureRadius	2m
citadel_ability_hornet_chain	3	ChainDuration	0.75
citadel_ability_hornet_leap	1	BonusClipSizePercent	50
citadel_ability_hornet_leap	2	AbilityDuration	10
citadel_ability_hornet_leap	3	MagicDamagePerBullet	10
citadel_ability_hornet_leap	3	MagicDamagePerBullet	0.1
citadel_ability_hornet_leap	3	RefreshOnKill	1
citadel_ability_hornet_snipe	1	AbilityCooldown	-20
citadel_ability_hornet_snipe	2	LowHealthEnemyDamageBonus	80
citadel_ability_hornet_snipe	3	WeaponDamageBonusPerKill	4
citadel_ability_hornet_sting	1	HealAmpReceivePenaltyPercent	-35
citadel_ability_hornet_sting	1	HealAmpRegenPenaltyPercent	-35
citadel_ability_hornet_sting	2	AbilityCooldown	-12
citadel_ability_hornet_sting	2	DotHealthPercent	0.5
citadel_ability_hornet_sting	3	BulletResistReduction	-8
citadel_ability_hornet_sting	3	DebuffDuration	2
citadel_ability_hornet_sting	3	TechArmorDamageReduction	-8
citadel_ability_infinity_slash	1	WeaponDamageBonus	7
citadel_ability_infinity_slash	2	AbilityCooldown	-25
citadel_ability_infinity_slash	2	BonusMoveSpeed	4m
citadel_ability_infinity_slash	3	AbilityDuration	3.0
citadel_ability_infinity_slash	3	BulletResist	30
citadel_ability_infinity_slash	3	TechResist	30
citadel_ability_lash	1	AbilityCooldown	-17
citadel_ability_lash	2	AbilityCastRange	20m
citadel_ability_lash	2	WeaponDamageBonus	7
citadel_ability_lash	2	WeaponDamageBonusDuration	10
citadel_ability_lash	3	AbilityCharges	1
citadel_ability_lash	3	AirControlPercent	60
citadel_ability_lash	3	RestoreStaminaOnUse	1
citadel_ability_lash_down_strike	1	AbilityCooldown	-10
citadel_ability_lash_down_strike	2	EnemySlowPct	50
citadel_ability_lash_down_strike	2	SlowDuration	3
citadel_ability_lash_down_strike	2	StompBounceHeight	400
citadel_ability_lash_down_strike	2	TossDuration	1
citadel_ability_lash_down_strike	3	StompDamagePerMeterPrimary	0.03255
citadel_ability_lash_down_strike	3	StompDamagePerMeterPrimary	113
citadel_ability_lash_down_strike	3	StompDamagePerMeterSecondary	0.008137
citadel_ability_lash_down_strike	3	StompDamagePerMeterSecondary	113
citadel_ability_lash_ultimate	1	ThrowDistance	12m
citadel_ability_lash_ultimate	2	AbilityCooldown	-40
citadel_ability_lash_ultimate	3	AbilityCastRange	6m
citadel_ability_lash_ultimate	3	StunDuration	1.2
citadel_ability_lightning_ball	1	AbilityCharges	1
citadel_ability_lightning_ball	2	MaxLifetime	1
citadel_ability_lightning_ball	2	SlowPercent	35
citadel_ability_lightning_ball	3	DPS	58.5
citadel_ability_lightning_ball	3	ShockRadius	1.5m
citadel_ability_mobile_resupply	1	SpiritResist	40
citadel_ability_mobile_resupply	2	AbilityCooldown	-20
citadel_ability_mobile_resupply	2	StaminaCooldownReduction	100
citadel_ability_mobile_resupply	3	AbilityDuration	1.5
citadel_ability_mobile_resupply	3	HealRadius	3m
citadel_ability_mobile_resupply	3	MaxHealthRegenPct	2.0
citadel_ability_nikuman	1	MovementSpeedBonus	4m
citadel_ability_nikuman	1	MovementSpeedBonusDuration	8
citadel_ability_nikuman	2	AbilityChannelTime	1
citadel_ability_nikuman	2	AbilityCooldown	-20
citadel_ability_nikuman	3	HealMaxHealthPercent	2.5
citadel_ability_nikuman	3	NoChannel	1
citadel_ability_passive_beefy	1	BonusMaxHealth	200
citadel_ability_passive_beefy	2	MeleeLifesteal	18
citadel_ability_passive_beefy	3	RegenIncomingDamagePercent	8
citadel_ability_passive_beefy	3	StatusResistancePercent	20
citadel_ability_power_slash	1	SlowDuration	3
citadel_ability_power_slash	1	SlowPercent	40
citadel_ability_power_slash	2	AbilityCooldown	-4
citadel_ability_power_slash	3	FullChargeDamage	150
citadel_ability_power_slash	3	FullChargeDamage	0.5
citadel_ability_power_slash	3	SlashLength	8m
citadel_ability_projectmind	1	AbilityCastRange	15m
citadel_ability_projectmind	2	BarrierDuration	5
citadel_ability_projectmind	2	CombatBarrier	300
citadel_ability_projectmind	2	CombatBarrier	1.7
citadel_ability_projectmind	3	AbilityCooldown	-32
citadel_ability_psychic_lift	1	Damage	100
citadel_ability_psychic_lift	2	AbilityCooldown	-50
citadel_ability_psychic_lift	3	AbilityCastRange	6m
citadel_ability_psychic_lift	3	AbilityDuration	1.5
citadel_ability_psychic_lift	3	TossDistance	6m
citadel_ability_rocket_barrage	1	EnemyDashSlowPercent	-18
citadel_ability_rocket_barrage	1	MoveSlowDuration	1
citadel_ability_rocket_barrage	1	MoveSlowPercent	30
citadel_ability_rocket_barrage	2	AbilityCooldown	-55
citadel_ability_rocket_barrage	2	AbilityDuration	6
citadel_ability_rocket_barrage	3	DamagePerRocket	15
citadel_ability_rocket_barrage	3	DamagePerRocket	0.16
citadel_ability_rocket_barrage	3	ExplosionRadius	2m
citadel_ability_self_vacuum	1	VacuumRadius	2m
citadel_ability_self_vacuum	2	AbilityChannelTime	0.75
citadel_ability_self_vacuum	3	DPSPercentHealth	6
citadel_ability_shieldedsentry	1	TurretAttackRange	10m
citadel_ability_shieldedsentry	1	TurretDPS	10
citadel_ability_shieldedsentry	2	AbilityCharges	2
citadel_ability_shieldedsentry	3	AttackSpeedMult	25
citadel_ability_shieldedsentry	3	TurretLifetime	12
citadel_ability_shiv_dagger	1	BleedDuration	2
citadel_ability_shiv_dagger	2	AbilityCharges	2
citadel_ability_shiv_dagger	3	BleedDPSPerStack	12
citadel_ability_shiv_dagger	3	BleedDPSPerStack	0.09
citadel_ability_shiv_dash	1	AbilityCooldown	-6
citadel_ability_shiv_dash	2	DashRange	2m
citadel_ability_shiv_dash	2	TechArmorDamageReduction	-6
citadel_ability_shiv_dash	3	CooldownReductionOnHit	2
citadel_ability_shiv_dash	3	CooldownReductionOnHitNonHero	1
citadel_ability_shiv_dash	3	ImpactDamage	50
citadel_ability_shiv_dash	3	MaxCooldownReductionsFromHits	8
citadel_ability_shiv_defer_damage	1	AbilityCooldown	-10
citadel_ability_shiv_defer_damage	2	DamagePctDeferred	15
citadel_ability_shiv_defer_damage	3	DeferClearPct	50
citadel_ability_shiv_killing_blow	1	BonusMoveSpeed	2m
citadel_ability_shiv_killing_blow	2	AbilityCooldown	-30
citadel_ability_shiv_killing_blow	2	BuffDamage	10
citadel_ability_shiv_killing_blow	3	EnemyHealthPercent	5
citadel_ability_shiv_killing_blow	3	RecastWindow	20
citadel_ability_static_charge	1	AbilityCooldown	-20
citadel_ability_static_charge	2	AbilityCastRange	5m
citadel_ability_static_charge	2	ShockRadius	7m
citadel_ability_static_charge	3	Damage	160
citadel_ability_static_charge	3	StunDuration	0.9
citadel_ability_sticky_bomb	1	AbilityCooldown	-8
citadel_ability_sticky_bomb	2	Damage	85
citadel_ability_sticky_bomb	3	MovementSpeedBonus	5m
citadel_ability_sticky_bomb	3	MovementSpeedBonusDuration	6
citadel_ability_sticky_bomb	3	StatusResistancePercent	25
citadel_ability_stomp	1	AbilityCharges	1
citadel_ability_stomp	2	BulletResistReduction	-15
citadel_ability_stomp	2	SlowDuration	4
citadel_ability_stomp	2	SlowPercent	30
citadel_ability_stomp	3	Damage	135
citadel_ability_stomp	3	StompRange	20m
citadel_ability_storm_cloud	1	BulletResistOnActive	55
citadel_ability_storm_cloud	2	AbilityChannelTime	7
citadel_ability_storm_cloud	2	Radius	10m
citadel_ability_storm_cloud	3	DPS	65
citadel_ability_storm_cloud	3	FlightControlEnabled	4m
citadel_ability_tangotether	1	MoveSpeedBonus	2m
citadel_ability_tangotether	2	BonusFireRate	8
citadel_ability_tangotether	2	BulletLifestealPercent	8
citadel_ability_tangotether	3	AbilityCooldown	-37
citadel_ability_tangotether	3	AbilityDuration	-13
citadel_ability_tengu_airlift	1	AirDropBulletShield	300
citadel_ability_tengu_airlift	1	AirDropBulletShield	0.7
citadel_ability_tengu_airlift	2	DebuffDuration	3
citadel_ability_tengu_airlift	2	SlowPercent	40
citadel_ability_tengu_airlift	3	AirDropBulletShield	1.0
citadel_ability_tengu_airlift	3	ExplodeDamage	1.5
citadel_ability_tengu_airlift	3	SilenceDuration	3
citadel_ability_tengu_stone_form	1	MaxHealthRegen	7
citadel_ability_tengu_stone_form	2	AbilityCooldown	-25
citadel_ability_tengu_stone_form	3	Damage	1.7
citadel_ability_tengu_stone_form	3	StunDuration	1
citadel_ability_tengu_urn	1	AbilityCharges	1
citadel_ability_tengu_urn	2	DPS	0.5
citadel_ability_tengu_urn	2	Radius	2m
citadel_ability_tengu_urn	3	EntangleDuration	1.6
citadel_ability_tengu_urn	3	TimeToEntangle	2
citadel_ability_uppercut	1	AbilityCooldown	-11
citadel_ability_uppercut	2	BuffBaseWeaponPct	30
citadel_ability_uppercut	2	UppercutBuffOnHit	9
citadel_ability_uppercut	3	MissingHPHeal	18
citadel_ability_uppercut	3	RestoreHookCooldown	1
citadel_ability_void_sphere	1	AbilityCastRange	6m
citadel_ability_void_sphere	2	AbilityCooldown	-6
citadel_ability_void_sphere	3	ChargeReplenish	1
citadel_ability_void_sphere	3	ReduceDebuffs	50
citadel_ability_wraith_rapidfire	1	AbilityCooldown	-20
citadel_ability_wraith_rapidfire	2	AbilityDuration	3
citadel_ability_wraith_rapidfire	2	BonusFireRate	10
citadel_ability_wraith_rapidfire	3	MagicDamagePerBullet	0.06
citadel_ability_wraith_rapidfire	3	UnlimitedAmmo	1
drifter_blood_blast	1	BonusDamage	40
drifter_blood_blast	2	AbilityCooldown	-7
drifter_blood_blast	3	Damage	0
drifter_blood_blast	3	DamageHeavyMelee	0.55
drifter_blood_blast	3	DebuffDuration	2.3
drifter_blood_blast	3	UseHeavyMelee	1
drifter_darkness	1	BonusSprintSpeed	10m
drifter_darkness	2	AbilityCooldown	-45
drifter_darkness	3	AbilityDuration	2.5
drifter_darkness	3	MaxTargets	1
drifter_shadow_mark	1	BulletResistReduction	-8
drifter_shadow_mark	2	AbilityCooldown	-8
drifter_shadow_mark	2	AbilityDuration	3
drifter_shadow_mark	3	DotHealthPercent	2
drifter_shadow_mark	3	HealAmpReceivePenaltyPercent	-40
drifter_shadow_mark	3	HealAmpRegenPenaltyPercent	-40
genericperson_ability_1	1	AbilityCooldown	-0.75
genericperson_ability_1	2	AbilityCooldown	-0.75
genericperson_ability_1	3	AbilityCooldown	-0.75
genericperson_ability_2	1	AbilityCooldown	-0.75
genericperson_ability_2	2	AbilityCooldown	-0.75
genericperson_ability_2	3	AbilityCooldown	-0.75
genericperson_ability_3	1	AbilityCooldown	-0.75
genericperson_ability_3	2	AbilityCooldown	-0.75
genericperson_ability_3	3	AbilityCooldown	-0.75
genericperson_ability_4	1	AbilityCooldown	-0.75
genericperson_ability_4	2	AbilityCooldown	-0.75
genericperson_ability_4	3	AbilityCooldown	-0.75
mirage_fire_beetles	1	DPS	7
mirage_fire_beetles	2	AbilityCharges	2
mirage_fire_beetles	3	DPS	0.17
mirage_fire_beetles	3	OutgoingDamagePenaltyPercent	-15
mirage_sand_phantom	1	MovementSpeedSlow	60
mirage_sand_phantom	1	SlowDuration	0.8
mirage_sand_phantom	2	ProcDamageBase	20
mirage_sand_phantom	2	VictimStackDuration	3
mirage_sand_phantom	3	AbilityCooldown	-1
mirage_sand_phantom	3	MaxStacks	1
mirage_sand_phantom	3	ProcCooldown	-1
mirage_sand_phantom	3	StunDuration	0.5
mirage_teleport	1	BonusFireRate	20
mirage_teleport	1	BonusMoveSpeed	3m
mirage_teleport	1	MovementSpeedBonusDuration	12
mirage_teleport	2	CombatBarrier	400
mirage_teleport	2	CombatBarrier	0.6
mirage_teleport	3	AbilityCooldown	-80
mirage_tornado	1	Damage	60
mirage_tornado	2	AbilityCooldown	-12
mirage_tornado	2	WhirlwindEvasionChance	30
mirage_tornado	3	Damage	1
mirage_tornado	3	HoldInPlaceDuration	0.3
mirage_tornado	3	RecastWindow	6
synth_affliction	1	AbilityCooldown	-40
synth_affliction	2	DebuffDuration	3
synth_affliction	2	Radius	4m
synth_affliction	3	DPS	14
synth_affliction	3	DPS	0.11
synth_affliction	3	DisableHealing	1
synth_barrage	1	DamagePerProjectile	16
synth_barrage	2	AbilityCooldown	-16
synth_barrage	3	AmpPercentPerStack	4
synth_barrage	3	Radius	3m
synth_plasma_flux	1	Damage	70
synth_plasma_flux	2	WeaponDamageBonus	5
synth_plasma_flux	2	WeaponDamageBonusDuration	6
synth_plasma_flux	3	AbilityCooldown	-12
synth_plasma_flux	3	MaxLifetime	1.6
synth_pulse	1	AbilityCooldown	-5
synth_pulse	2	Damage	90
synth_pulse	3	AbilityChannelTime	1.5
synth_pulse	3	DebuffDuration	4.0
synth_pulse	3	FireRateSlow	40
synth_pulse	3	MoveSlowPercent	40
synth_pulse	3	Radius	4m
targetdummy_ability_1	1	AbilityCooldown	-0.75
targetdummy_ability_1	2	AbilityCooldown	-0.75
targetdummy_ability_1	3	AbilityCooldown	-0.75
targetdummy_ability_2	1	AbilityCooldown	-0.75
targetdummy_ability_2	2	AbilityCooldown	-0.75
targetdummy_ability_2	3	AbilityCooldown	-0.75
targetdummy_ability_3	1	AbilityCooldown	-0.75
targetdummy_ability_3	2	AbilityCooldown	-0.75
targetdummy_ability_3	3	AbilityCooldown	-0.75
targetdummy_ability_4	1	AbilityCooldown	-0.75
targetdummy_ability_4	2	AbilityCooldown	-0.75
targetdummy_ability_4	3	AbilityCooldown	-0.75
viscous_goo_bowling_ball	1	AbilityCooldown	-30
viscous_goo_bowling_ball	2	BulletResist	10
viscous_goo_bowling_ball	2	Damage	70
viscous_goo_bowling_ball	2	TechResist	10
viscous_goo_bowling_ball	3	AbilityDuration	6
viscous_goo_bowling_ball	3	StunDuration	0.3
viscous_goo_grenade	1	Damage	36
viscous_goo_grenade	1	Radius	2m
viscous_goo_grenade	2	AbilityCooldown	-14
viscous_goo_grenade	3	Damage	1.1
viscous_goo_grenade	3	MaxBounces	2
viscous_restorative_goo	1	BonusMoveSpeed	2.5m
viscous_restorative_goo	1	PostCubeBuff	1
viscous_restorative_goo	1	StaminaCooldownReduction	30
viscous_restorative_goo	2	AbilityDuration	1
viscous_restorative_goo	2	BonusHealthRegen	25
viscous_restorative_goo	3	AbilityCooldown	-25
viscous_restorative_goo	3	PurgeDebuffs	1
viscous_telepunch	1	AbilityCharges	1
viscous_telepunch	1	Damage	20
viscous_telepunch	2	LifeStealPercentOnHit	60
viscous_telepunch	2	Radius	1.5m
viscous_telepunch	3	AbilityCooldown	-12
viscous_telepunch	3	Damage	0
viscous_telepunch	3	Damage	-40
viscous_telepunch	3	DamageHeavyMelee	0.6
viscous_telepunch	3	DamageHeavyMelee	40
viscous_telepunch	3	UseHeavyMelee	1
